decisao_id,numero_da_decisao,resumo_da_decisao,conteudo_da_decisao,juiz_id,processo_id,lei_id
1,decisao 1,resumo 1,conteudo 1,24,815,486
2,decisao 2,resumo 2,conteudo 2,45,56,56
3,decisao 3,resumo 3,conteudo 3,100,400,114
4,decisao 4,resumo 4,conteudo 4,17,595,209
5,decisao 5,resumo 5,conteudo 5,38,678,239
6,decisao 6,resumo 6,conteudo 6,30,446,50
7,decisao 7,resumo 7,conteudo 7,3,22,299
8,decisao 8,resumo 8,conteudo 8,60,417,460
9,decisao 9,resumo 9,conteudo 9,46,171,480
10,decisao 10,resumo 10,conteudo 10,61,460,303
11,decisao 11,resumo 11,conteudo 11,21,616,295
12,decisao 12,resumo 12,conteudo 12,15,568,4
13,decisao 13,resumo 13,conteudo 13,87,458,359
14,decisao 14,resumo 14,conteudo 14,50,89,288
15,decisao 15,resumo 15,conteudo 15,67,236,94
16,decisao 16,resumo 16,conteudo 16,3,336,168
17,decisao 17,resumo 17,conteudo 17,37,225,86
18,decisao 18,resumo 18,conteudo 18,52,376,210
19,decisao 19,resumo 19,conteudo 19,86,424,205
20,decisao 20,resumo 20,conteudo 20,87,209,386
21,decisao 21,resumo 21,conteudo 21,71,629,429
22,decisao 22,resumo 22,conteudo 22,96,71,211
23,decisao 23,resumo 23,conteudo 23,47,910,380
24,decisao 24,resumo 24,conteudo 24,16,413,301
25,decisao 25,resumo 25,conteudo 25,7,625,207
26,decisao 26,resumo 26,conteudo 26,53,849,35
27,decisao 27,resumo 27,conteudo 27,94,294,31
28,decisao 28,resumo 28,conteudo 28,17,639,388
29,decisao 29,resumo 29,conteudo 29,83,836,147
30,decisao 30,resumo 30,conteudo 30,50,731,249
31,decisao 31,resumo 31,conteudo 31,93,788,188
32,decisao 32,resumo 32,conteudo 32,8,259,272
33,decisao 33,resumo 33,conteudo 33,92,348,283
34,decisao 34,resumo 34,conteudo 34,38,666,110
35,decisao 35,resumo 35,conteudo 35,38,671,417
36,decisao 36,resumo 36,conteudo 36,32,17,238
37,decisao 37,resumo 37,conteudo 37,62,172,318
38,decisao 38,resumo 38,conteudo 38,98,644,218
39,decisao 39,resumo 39,conteudo 39,74,760,439
40,decisao 40,resumo 40,conteudo 40,18,411,395
41,decisao 41,resumo 41,conteudo 41,43,547,381
42,decisao 42,resumo 42,conteudo 42,11,750,274
43,decisao 43,resumo 43,conteudo 43,17,822,172
44,decisao 44,resumo 44,conteudo 44,62,94,149
45,decisao 45,resumo 45,conteudo 45,66,273,376
46,decisao 46,resumo 46,conteudo 46,85,601,218
47,decisao 47,resumo 47,conteudo 47,68,32,300
48,decisao 48,resumo 48,conteudo 48,8,370,381
49,decisao 49,resumo 49,conteudo 49,19,564,384
50,decisao 50,resumo 50,conteudo 50,49,157,131
51,decisao 51,resumo 51,conteudo 51,97,736,24
52,decisao 52,resumo 52,conteudo 52,37,16,363
53,decisao 53,resumo 53,conteudo 53,80,493,119
54,decisao 54,resumo 54,conteudo 54,87,933,449
55,decisao 55,resumo 55,conteudo 55,5,228,298
56,decisao 56,resumo 56,conteudo 56,91,181,179
57,decisao 57,resumo 57,conteudo 57,85,361,34
58,decisao 58,resumo 58,conteudo 58,12,207,382
59,decisao 59,resumo 59,conteudo 59,11,616,187
60,decisao 60,resumo 60,conteudo 60,19,43,149
61,decisao 61,resumo 61,conteudo 61,14,902,149
62,decisao 62,resumo 62,conteudo 62,92,550,372
63,decisao 63,resumo 63,conteudo 63,72,867,150
64,decisao 64,resumo 64,conteudo 64,53,603,196
65,decisao 65,resumo 65,conteudo 65,56,65,339
66,decisao 66,resumo 66,conteudo 66,29,770,276
67,decisao 67,resumo 67,conteudo 67,60,423,387
68,decisao 68,resumo 68,conteudo 68,52,11,205
69,decisao 69,resumo 69,conteudo 69,86,107,169
70,decisao 70,resumo 70,conteudo 70,7,178,157
71,decisao 71,resumo 71,conteudo 71,92,434,73
72,decisao 72,resumo 72,conteudo 72,37,499,207
73,decisao 73,resumo 73,conteudo 73,13,91,97
74,decisao 74,resumo 74,conteudo 74,72,66,256
75,decisao 75,resumo 75,conteudo 75,30,53,486
76,decisao 76,resumo 76,conteudo 76,27,722,86
77,decisao 77,resumo 77,conteudo 77,60,454,330
78,decisao 78,resumo 78,conteudo 78,88,183,478
79,decisao 79,resumo 79,conteudo 79,18,995,99
80,decisao 80,resumo 80,conteudo 80,97,588,366
81,decisao 81,resumo 81,conteudo 81,30,586,144
82,decisao 82,resumo 82,conteudo 82,30,648,335
83,decisao 83,resumo 83,conteudo 83,2,278,28
84,decisao 84,resumo 84,conteudo 84,65,400,304
85,decisao 85,resumo 85,conteudo 85,60,634,272
86,decisao 86,resumo 86,conteudo 86,27,886,53
87,decisao 87,resumo 87,conteudo 87,90,20,273
88,decisao 88,resumo 88,conteudo 88,92,795,182
89,decisao 89,resumo 89,conteudo 89,9,166,482
90,decisao 90,resumo 90,conteudo 90,66,756,33
91,decisao 91,resumo 91,conteudo 91,16,199,212
92,decisao 92,resumo 92,conteudo 92,39,776,473
93,decisao 93,resumo 93,conteudo 93,17,576,388
94,decisao 94,resumo 94,conteudo 94,39,808,403
95,decisao 95,resumo 95,conteudo 95,17,803,226
96,decisao 96,resumo 96,conteudo 96,38,964,474
97,decisao 97,resumo 97,conteudo 97,64,294,194
98,decisao 98,resumo 98,conteudo 98,15,675,277
99,decisao 99,resumo 99,conteudo 99,62,425,81
100,decisao 100,resumo 100,conteudo 100,45,79,39
101,decisao 101,resumo 101,conteudo 101,48,22,6
102,decisao 102,resumo 102,conteudo 102,100,813,120
103,decisao 103,resumo 103,conteudo 103,52,831,375
104,decisao 104,resumo 104,conteudo 104,68,768,148
105,decisao 105,resumo 105,conteudo 105,92,143,491
106,decisao 106,resumo 106,conteudo 106,4,394,441
107,decisao 107,resumo 107,conteudo 107,56,568,282
108,decisao 108,resumo 108,conteudo 108,43,701,378
109,decisao 109,resumo 109,conteudo 109,74,264,465
110,decisao 110,resumo 110,conteudo 110,70,657,479
111,decisao 111,resumo 111,conteudo 111,34,361,385
112,decisao 112,resumo 112,conteudo 112,38,32,142
113,decisao 113,resumo 113,conteudo 113,36,260,28
114,decisao 114,resumo 114,conteudo 114,47,983,3
115,decisao 115,resumo 115,conteudo 115,82,468,392
116,decisao 116,resumo 116,conteudo 116,97,973,26
117,decisao 117,resumo 117,conteudo 117,5,549,312
118,decisao 118,resumo 118,conteudo 118,84,764,167
119,decisao 119,resumo 119,conteudo 119,8,613,198
120,decisao 120,resumo 120,conteudo 120,1,503,73
121,decisao 121,resumo 121,conteudo 121,44,441,125
122,decisao 122,resumo 122,conteudo 122,77,910,88
123,decisao 123,resumo 123,conteudo 123,87,998,468
124,decisao 124,resumo 124,conteudo 124,42,461,140
125,decisao 125,resumo 125,conteudo 125,37,614,31
126,decisao 126,resumo 126,conteudo 126,21,929,149
127,decisao 127,resumo 127,conteudo 127,2,529,177
128,decisao 128,resumo 128,conteudo 128,70,897,141
129,decisao 129,resumo 129,conteudo 129,95,845,250
130,decisao 130,resumo 130,conteudo 130,57,542,380
