processo_id,numero_do_processo,titulo_do_processo,decisao_do_processo,tipo_de_direito_do_processo,documento_parte,registro_OAB
1,1,titulo1,decisao1,Direito Civil,39,4
2,2,titulo2,decisao2,Direito Civil,1,3
3,3,titulo3,decisao3,Direito Civil,6,9
4,4,titulo4,decisao4,Direito Penal,27,7
5,5,titulo5,decisao5,Direito Penal,26,4
6,6,titulo6,decisao6,Direito Penal,37,3
7,7,titulo7,decisao7,Direito Tributário,5,1
8,8,titulo8,decisao8,Direito Tributário,27,7
9,9,titulo9,decisao9,Direito Tributário,8,5
10,10,titulo10,decisao10,Direito Digital,31,10
11,11,titulo11,decisao11,Direito Digital,45,7
12,12,titulo12,decisao12,Direito Digital,21,8
13,13,titulo13,decisao13,Direito Ambiental,17,8
14,14,titulo14,decisao14,Direito Ambiental,32,8
15,15,titulo15,decisao15,Direito Ambiental,21,4
16,16,titulo16,decisao16,Direito do Consumidor,48,3
17,17,titulo17,decisao17,Direito do Consumidor,14,3
18,18,titulo18,decisao18,Direito do Consumidor,7,6
19,19,titulo19,decisao19,Direito Civil,44,9
20,20,titulo20,decisao20,Direito Civil,38,5
21,21,titulo21,decisao21,Direito Civil,28,8
22,22,titulo22,decisao22,Direito Penal,4,1
23,23,titulo23,decisao23,Direito Penal,49,9
24,24,titulo24,decisao24,Direito Penal,33,5
25,25,titulo25,decisao25,Direito Tributário,32,3
26,26,titulo26,decisao26,Direito Tributário,18,4
27,27,titulo27,decisao27,Direito Tributário,47,6
28,28,titulo28,decisao28,Direito Digital,48,1
29,29,titulo29,decisao29,Direito Digital,41,6
30,30,titulo30,decisao30,Direito Digital,50,3
31,31,titulo31,decisao31,Direito Ambiental,48,10
32,32,titulo32,decisao32,Direito Ambiental,36,6
33,33,titulo33,decisao33,Direito Ambiental,30,8
34,34,titulo34,decisao34,Direito do Consumidor,18,1
35,35,titulo35,decisao35,Direito do Consumidor,35,2
36,36,titulo36,decisao36,Direito do Consumidor,29,5
37,37,titulo37,decisao37,Direito Civil,27,9
38,38,titulo38,decisao38,Direito Civil,33,8
39,39,titulo39,decisao39,Direito Civil,29,2
40,40,titulo40,decisao40,Direito Penal,8,7
41,41,titulo41,decisao41,Direito Penal,31,2
42,42,titulo42,decisao42,Direito Penal,46,5
43,43,titulo43,decisao43,Direito Tributário,21,5
44,44,titulo44,decisao44,Direito Tributário,50,3
45,45,titulo45,decisao45,Direito Tributário,11,4
46,46,titulo46,decisao46,Direito Digital,7,2
47,47,titulo47,decisao47,Direito Digital,22,6
48,48,titulo48,decisao48,Direito Digital,24,4
49,49,titulo49,decisao49,Direito Ambiental,7,4
50,50,titulo50,decisao50,Direito Ambiental,16,1
51,51,titulo51,decisao51,Direito Ambiental,38,3
52,52,titulo52,decisao52,Direito do Consumidor,26,4
53,53,titulo53,decisao53,Direito do Consumidor,23,9
54,54,titulo54,decisao54,Direito do Consumidor,23,6
55,55,titulo55,decisao55,Direito Civil,49,6
56,56,titulo56,decisao56,Direito Civil,46,10
57,57,titulo57,decisao57,Direito Civil,16,10
58,58,titulo58,decisao58,Direito Penal,8,5
59,59,titulo59,decisao59,Direito Penal,35,4
60,60,titulo60,decisao60,Direito Penal,47,1
61,61,titulo61,decisao61,Direito Tributário,16,10
62,62,titulo62,decisao62,Direito Tributário,15,2
63,63,titulo63,decisao63,Direito Tributário,13,7
64,64,titulo64,decisao64,Direito Digital,33,2
65,65,titulo65,decisao65,Direito Digital,44,5
66,66,titulo66,decisao66,Direito Digital,16,4
67,67,titulo67,decisao67,Direito Ambiental,19,7
68,68,titulo68,decisao68,Direito Ambiental,44,2
69,69,titulo69,decisao69,Direito Ambiental,35,6
70,70,titulo70,decisao70,Direito do Consumidor,15,7
71,71,titulo71,decisao71,Direito do Consumidor,36,6
72,72,titulo72,decisao72,Direito do Consumidor,36,10
73,73,titulo73,decisao73,Direito Civil,13,8
74,74,titulo74,decisao74,Direito Civil,8,6
75,75,titulo75,decisao75,Direito Civil,3,3
